data_year,syllabus,district,uni_code,course,university,zscore,status,source,page
2019/2020,new,COLOMBO,C01,MEDICINE,University of Colombo,2.4546,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C02,MEDICINE,University of Peradeniya,2.3255,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C03,MEDICINE,University of Sri Jayewardenepura,2.2572,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C04,MEDICINE,University of Kelaniya,2.2016,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C05,MEDICINE,University of Jaffna,2.0858,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C06,MEDICINE,University of Ruhuna,2.1392,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C07,MEDICINE,University of Moratuwa,2.0676,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C08,MEDICINE,"Eastern University, Sri Lanka",,NQC,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C09,MEDICINE,Rajarata University of Sri Lanka,2.0957,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C10,MEDICINE,Sabaragamuwa University of Sri Lanka,,NQC,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C11,MEDICINE,Wayamba University of Sri Lanka,,NQC,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C12,DENTAL SURGERY,University of Peradeniya,2.0326,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C13,VETERINARY SCIENCE,University of Peradeniya,1.8619,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C14,MOLECULAR BIOLOGY & BIOCHEMISTRY,University of Colombo,1.9949,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C15,AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,1.5348,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C16,AGRICULTURE,University of Jaffna,0.9845,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C17,AGRICULTURE,"Eastern University, Sri Lanka",1.0438,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C18,AGRICULTURE,Rajarata University of Sri Lanka,0.9613,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C19,AGRICULTURE,Sabaragamuwa University of Sri Lanka,1.1013,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C20,AGRICULTURE,Wayamba University of Sri Lanka,1.0427,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C21,FOOD SCIENCE & NUTRITION,Wayamba University of Sri Lanka,1.4539,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C22,FOOD SCIENCE & TECHNOLOGY,University of Peradeniya,1.8514,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C23,FOOD SCIENCE & TECHNOLOGY,University of Sri Jayewardenepura,1.7577,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C24,FOOD SCIENCE & TECHNOLOGY,Sabaragamuwa University of Sri Lanka,,NQC,student_handbook_english (2020-2021).pdf,257
2019/2020,new,COLOMBO,C25,BIOLOGICAL SCIENCE,University of Colombo,1.7667,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,GAMPAHA,C01,MEDICINE,University of Colombo,2.501,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,GAMPAHA,C02,MEDICINE,University of Peradeniya,2.3317,OK,student_handbook_english (2020-2021).pdf,257
2019/2020,new,GAMPAHA,C03,MEDICINE,University of Sri Jayewardenepura,2.43,OK,student_handbook_english (2020-2021).pdf,257
