year,course,course_code,intake,source
2020,ARTS,019,6985,student_handbook_english (2020-2021).pdf
2020,MASS MEDIA,019,110,student_handbook_english (2020-2021).pdf
2020,PERFORMING ARTS,019,110,student_handbook_english (2020-2021).pdf
2020,MUSIC,105,300,student_handbook_english (2020-2021).pdf
2020,DANCE,105,300,student_handbook_english (2020-2021).pdf
2020,DRAMA & THEATRE,105,74,student_handbook_english (2020-2021).pdf
2020,VISUAL ARTS,105,120,student_handbook_english (2020-2021).pdf
2020,ART & DESIGN,105,62,student_handbook_english (2020-2021).pdf
2020,MANAGEMENT,016,5336,student_handbook_english (2020-2021).pdf
2020,MANAGEMENT (PUBLIC) HONOURS,028,114,student_handbook_english (2020-2021).pdf
2020,ESTATE MANAGEMENT & VALUATION,017,88,student_handbook_english (2020-2021).pdf
2020,COMMERCE,018,899,student_handbook_english (2020-2021).pdf
2020,MANAGEMENT STUDIES (TV),022,458,student_handbook_english (2020-2021).pdf
2020,BUSINESS INFORMATION SYSTEMS (HONOURS) (BIS),077,80,student_handbook_english (2020-2021).pdf
2020,ACCOUNTING INFORMATION SYSTEMS (NEW),127,50,student_handbook_english (2020-2021).pdf
2020,MEDICINE,,1864,student_handbook_english (2020-2021).pdf
2020,DENTAL SURGERY,,153,student_handbook_english (2020-2021).pdf
2020,AGRICULTURAL TECHNOLOGY & MANAGEMENT,039,221,student_handbook_english (2020-2021).pdf
2020,AGRICULTURE,004,889,student_handbook_english (2020-2021).pdf
2020,FOOD SCIENCE & NUTRITION,005,164,student_handbook_english (2020-2021).pdf
2020,FOOD SCIENCE & TECHNOLOGY,035,218,student_handbook_english (2020-2021).pdf
2020,AYURVEDIC MEDICINE AND SURGERY,032,383,student_handbook_english (2020-2021).pdf
2020,UNANI MEDICINE AND SURGERY,033,89,student_handbook_english (2020-2021).pdf
2020,SIDDHA MEDICINE AND SURGERY,036,247,student_handbook_english (2020-2021).pdf
2020,BIOLOGICAL SCIENCE,006,1686,student_handbook_english (2020-2021).pdf
2020,APPLIED SCIENCES (BIOLOGICAL SCIENCE),007,410,student_handbook_english (2020-2021).pdf
2020,HEALTH PROMOTION,050,103,student_handbook_english (2020-2021).pdf
2020,NURSING,037,559,student_handbook_english (2020-2021).pdf
2020,PHARMACY,051,227,student_handbook_english (2020-2021).pdf
2020,MEDICAL LABORATORY SCIENCES,052,224,student_handbook_english (2020-2021).pdf
2020,RADIOGRAPHY,053,68,student_handbook_english (2020-2021).pdf
2020,PHYSIOTHERAPY,054,101,student_handbook_english (2020-2021).pdf
2020,BIOCHEMISTRY & MOLECULAR BIOLOGY,058,80,student_handbook_english (2020-2021).pdf
2020,FISHERIES & MARINE SCIENCES,062,120,student_handbook_english (2020-2021).pdf
2020,ENVIRONMENTAL CONSERVATION & MANAGEMENT,055,109,student_handbook_english (2020-2021).pdf
